or even on some surfaces?,"Optical mice use an LED and a camera to rapidly capture images of the surface beneath the mouse. The infomation from the camera is analyzed by a DSP (Digital Signal Processor) and used to detect imperfections in the underlying surface and determine motion. Some materials, such as glass, mirrors or other very shiny, uniform surfaces interfere with the ability of the DSP to accurately analyze the surface beneath the mouse.     Since glass is transparent and very uniform, the mouse is unable to pick up enough imperfections in the underlying surface to determine motion. Mirrored surfaces are also a problem, since they constantly reflect back the same image, causing the DSP not to recognize motion properly. When the system is unable to see surface changes associated with movement, the mouse will not work properly."
What are the pros and cons for web developers when using CSS,"PRO: CSS is designed to allow the separation of presentation and structure. Font colors, background styles, element alignments, borders and sizes are moved into a stylesheet, resulting in considerably simpler HTML code. The HTML documents become much smaller and web browsers will usually cache sites' CSS stylesheets. This leads to a reduction in network traffic and noticeably quicker page downloads.    CON:   Naming can get confusing. For example, authors might associate the class name with desired presentational attributes; for example, a CSS class to be applied to emphasized text might be named bigred, implying that it is rendered in a large red font. While such a choice of naming may be intuitive to the document author, it can cause problems if the author later decides that the emphasized text should instead be green; the author is left with a CSS class called bigred that describes something that is green.     There are bugs in CSS that you need to work out when you need it to work across multiple browsers & platforms, and its harder to debug than with a simple HTML."
what is the best photo slideshow creation application,"I recently tried two products to create an end-of-the-season slideshow for my childrens swim team, MyDVD 6.1 from Sonic Solution and PictureShow 3 from ULead.    The first product, MyDVD 6.1 was easy to use, but had an unacceptable flaw and was missing a really great feature. When creating long slideshows (>99 slides), the software automatically created chapter points. The problem was, that the audio would drop out at each chapter, creating unpleasant silence at seemingly random intervals in the show (~4-5x during my slide show). Since their customer support had no recommendations on solving the problem, I was forced to look elsewhere.    The second product PictureShow 3 from Ulead, not only solved that problem, but added a feature that I really think is a must have. The feature, known as the Ken Burns effect, subtly zooms or pans the photo within the frame during playback. This allows a slide show to have a sense of motion. Everyone that viewed the DVD I created universally liked the effect and commented on the cool factor.    The UI for adding multiple audio tracks could be improved, but it does allow frame level control over positioning the audio. The DVD burning process on a large number of 8MP photos took about an hour for 260 photos, which was longer than MyDVD took for a similar task. The project templates and menu backgrounds provided for both products were a bit weak for my taste, so I used a custom background for my main menu.    All-in-all PictureShow 3 did a great job for me. The slide show was a great success and the audience of ~200-300 people who viewed it at the end of the season were impressed by the quality and I got numerous positive comments."
I have very small stuff stuck under my keyboard and it prevents it to from working. What will be the be st way to clean it?,"There are commercial kits available, but a can of compressed air, a lint-free cloth or wipes, mild dishwashing liquid, and a vacuum cleaner with a soft brush are all you really need for a basic cleaning.     After turning off your computer and unplugging your keyboard, gently shake the keyboard upside down over some newspaper to dislodge loose crumbs and particles.     Use the can of compressed air to blow a stream of air between the keys.     Dampen a lint-free cloth with a diluted solution of dishwashing liquid and water to wipe down the keys.     Use the vacuum cleaner brush attachment to suck away any remaining dirt or debris.   If you have a membrane-type keyboard (it doesn't have a spring under each key) and the keys are truly grungy, you can remove the keys with a small screwdriver and use cotton swabs and 90% isopropyl alcohol to get it sparkling clean. If you are still feeling industrious, next you can tackle cleaning your mouse.     Of course, if cleaning your keyboard seems a truly undesirable task, you can always buy a new one for around $20."
What is the single most important thing you are missing on the internet ?,"I think that the best thing about the internet is that you CAN be anonymous. I agree that there should be a single identity that a user can use in secured web sites, like banks, but I prefer it to be an identity specific to the category and not to the entire internet. Meaning, if you look at the FICO number and what affect it (being late in the supermarket affect you car insurance) I rather not repeat that in the internet world. So my suggestion is to have separate identity to separate categories – the Banks’ web site will have their own identity database and it will be a different one form the gambling industry, etc."
I want to know the meaning of the word and how to explain to my friends.,"Not sure if this is the origin, but I think it was popularized in the 1989 film Tango & Cash. After Tango, played by Sylvester Stallone, and Cash, portrayed by Kurt Russell, were thrown into jail and setup in a failed jailbreak attempt, the bad guy Yves Perret (Jack Pallance) locked them in the boiler room with a bunch of felons Tango & Cash had put in jail. Prior to unleashing a can of whoop-ass, their conversation was as follows:    Gabriel Cash: I don't know about you, but I have an aversion to getting F.U.B.A.R...    Ray Tango: What's F.U.B.A.R.?    Gabriel Cash: Fucked-Up Beyond All Recognition."
i don't use floppies any more and need to boot from something other than my hard disk,"Well, the best way is to look at whatever program you have for burning CDs and see if it has an option to create a bootable CD. If you can't find it, or use Windows itself to burn CDs, then it's a little more complicated.    Note: If you find that booting from CD doesn't work, you may have to adjust your BIOS setting to allow your machine to boot from CD.    If you want to boot to windows: the easiest way is probably to go here: http://www.nu2.nu/bootcd/ and download a utility that will do it for you. There are instructions there depending on what type of boot you want.    If you don't trust using a third party utility, Microsoft has some instructions here: http://support.microsoft.com/kb/167685/EN-US/ . This process is not very straightforward though.    If you just need to get into your filesystem and poke around, you might consider booting a different OS. For example, http://www.freedos.org/ (FreeDOS) and http://www.knoppix.net/ (Knoppix Linux) may do what you want. For these, you can download ISO images and burn bootable CDs."
someone mentioned that to me few days ago and it sounded very interesting,D2K stands for Data to Knowledge. It's a catchy marketing term for the current generation of data mining tools.
How can I calculate a random number in a Triangular distribution random function? Is there a java packa ged somewhere which does it?,check out this site:    http://mathworld.wolfram.com/TriangularDistribution.html
How do I reset the root password in Linux?,"Here's how to do it.  I would have had to dig up the CD's (who knows where they are) and do a recovery that way, or download something from Tom's Root and Boot Site. I had access to the Grub loader, so I had it easy.    If you've lost your root password, you might be able to recover it this way. However, some systems are protected with boot loader passwords that won't let you do that without THAT password. If the boot loader is password protected, you need to boot from other media - for newer systems, the install CD probably has the recovery tools for that (linux rescue for example).    But let's try it the easy way first. The first thing to try is to boot to single user mode. This MIGHT not work for you, because your system might be configured to still ask for a root password to get to single user mode. If that's the case, we'll use another trick that replaces init with /bin/bash.    First, try single user. If you don't see either a LILO or GRUB boot screen, try hitting CTRL-X to get one. If it's LILO, just type linux single and that should do it (assuming that linux is the lilo label). If GRUB, hit 'e, then select the kernel line, hit e again, and add single (or just 1) to the end of the line. Press ENTER, and then b to boot. (More modern grub uses a to append to the boot line)    You should get a fairly normal looking boot sequence except that it terminates a little early at a bash prompt. If you get a Give root password for system maintenance, this isn't going to work, so see the init version below.    If you do get the prompt, the / filesystem may not be mounted rw (although mount may say it is). Do    mount -o remount,rw /  If that doesn't work (it might not), just type mount to find out where / is mounted. Let's say it is on /dev/sda2. You'd then type:    mount -o remount,rw /dev/sda2  If you can do this, just type passwd once you are in and change it to whatever you like. Or just edit /etc/shadow to remove the password field: move to just beyond the first : and remove everything up to the next :. With vi, that would be /: to move to the first :, space bar once, then d/: and ENTER. You'll get a warning about changing a read-only file; that's normal. Before you do this, /etc/shadow might look like:    root:$1$8NFmV6tr$rT.INHxDBWn1VvU5gjGzi/:12209:0:99999:7:-1:-1:1074970543  bin:*:12187:0:99999:7:::  daemon:*:12187:0:99999:7:::  adm:*:12187:0:99999:7:::  and after, the first few lines should be:    root::12209:0:99999:7:-1:-1:1074970543  bin:*:12187:0:99999:7:::  daemon:*:12187:0:99999:7:::  adm:*:12187:0:99999:7:::  You'll need to force the write: with vi, :wq!. (If that still doesn't work, you needed to do the -o remount,rw, see above).    Another trick is to add init=/bin/bash (LILO linux init=/bin/bash or add it to the Grub kernel line). This will dump you to a bash prompt much earlier than single user mode, and a lot less has been initialized, mounted, etc. You'll definitely need the -o remount,rw here. Also note that other filesystems aren't mounted at all, so you may need to mount them manually if you need them. Look in /etc/fstab for the device names.    Keep this in mind if you have a Linux machine in a publically accessible place : without more protection, it's not usually hard to recover a lost root password, which means it's just as easy for someone to CHANGE it, or access root without your knowlege.    Another way to do this is to remove the password from /etc/shadow. Just in case you screw up, I'd copy it somewhere safe first. You wan"
